DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1926-0008-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Bengal,,,No,No,No,,,Km2,,,,1926,7.0,19.0,1926,7.0,19.0,,,,,,,,,,,,5.80806373632463,,2003-07-01,2023-09-25
1927-0008-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Gujarat, Ahmedabad, Baroda",,,No,No,No,,,Kph,,,,1927,7.0,23.0,1927,7.0,23.0,56.0,10.0,40000.0,,40010.0,,,,,,,5.70962197808184,,2003-07-01,2023-09-25
1927-0011-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Nellore,,,No,No,No,,,Kph,,,,1927,11.0,1.0,1927,11.0,1.0,629.0,,,,,,,,,,,5.70962197808184,,2003-07-01,2023-09-25
1928-0018-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Godavari, Vizagapatnam",,,No,No,No,,,Km2,,,,1928,10.0,19.0,1928,10.0,19.0,36.0,,,2000.0,2000.0,,,,,,,5.64399413925331,,2003-07-01,2023-09-25
1935-0014-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Madras, Negapatam",,,No,No,No,,,Kph,,,,1935,11.0,13.0,1935,11.0,13.0,100.0,,,,,,,,,,,4.49550695975409,,2003-07-01,2023-09-25
1935-0015-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1935,,,1935,,,60000.0,,,,,,,,,,,4.49550695975409,,2003-07-01,2023-09-25
1936-0009-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Guntur (Madras),,,No,No,No,,,Kph,,,,1936,10.0,28.0,1936,10.0,28.0,233.0,,,,,,,,,,,4.56113479858262,,2003-07-01,2023-09-25
1942-0009-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Orissa, West Bengal",,,No,No,No,,,Kph,,,,1942,10.0,14.0,1942,10.0,14.0,40000.0,,,,,,,,,,,5.34866886452494,,2003-07-01,2023-09-25
1942-9003-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,"Calcutta, Bengal region",,Famine,No,No,No,,,Km2,,,,1942,,,1942,,,1500000.0,,,,,,,,,,,5.34866886452494,,2006-08-07,2023-09-25
1943-0011-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Rajputana,,,No,No,No,,,Kph,,,,1943,7.0,24.0,1943,7.0,24.0,5000.0,,,,,,,,,,,5.67680805866757,,2003-07-01,2023-09-25
1943-0012-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,Madras,,,No,No,No,,,Kph,,,,1943,10.0,3.0,1943,10.0,3.0,,,30000.0,,30000.0,,,,,,,5.67680805866757,,2003-07-01,2023-09-25
1944-0006-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Assam,,,No,No,No,,,Kph,,,,1944,6.0,14.0,1944,6.0,14.0,304.0,,,,,,,,,,,5.77524981691036,,2003-07-01,2023-09-25
1945-0005-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Gujarat, Punjab",,,No,No,No,,,Kph,,,,1945,9.0,18.0,1945,9.0,18.0,,,,2000.0,2000.0,,,,,,,5.90650549456742,,2003-07-01,2023-09-25
1948-0008-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,Assam,,,No,No,No,,,,,,,1948,9.0,18.0,1948,9.0,18.0,500.0,,,,,,,,,,,7.87534065942322,,2003-07-01,2023-09-25
1949-0013-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"East & West Godavari districts, Masulipatnam",,,No,No,No,,,Kph,,,,1949,10.0,27.0,1949,10.0,27.0,1000.0,,,,,,,,,,,7.8097128205947,,2003-07-01,2023-09-25
1950-0006-IND,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Saurashtra,,,No,No,No,,,Km2,,,,1950,7.0,11.0,1950,7.0,11.0,45.0,,25000.0,,25000.0,,,,,,,7.90815457883749,,2003-07-01,2023-09-25
1950-0008-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,Assam province,,"Slide (land, mud, snow, rock)|Tsunami/Tidal wave",No,No,No,,8.6,Moment Magnitude,28.5,96.5,,1950,8.0,15.0,1950,8.0,15.0,1500.0,,,,,,,,,20000.0,252904.0,7.90815457883749,,2004-04-13,2023-09-25
1950-0011-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,West,,,No,No,No,,,Kph,,,,1950,9.0,12.0,1950,9.0,12.0,90.0,,,,,,,,,,,7.90815457883749,,2003-07-01,2023-09-25
1950-0026-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1950,6.0,,1950,6.0,,100.0,,,,,,,,,,,7.90815457883749,,2003-07-01,2023-09-25
1952-0011-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Tanjore, Tiruchi",,,No,No,No,,,Kph,,,,1952,11.0,26.0,1952,11.0,26.0,400.0,,1000000.0,,1000000.0,,,,,,,8.72850256419407,,2003-07-01,2023-09-25
1952-0025-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1952,9.0,,1952,9.0,,350.0,,,,,,,,,,,8.72850256419407,,2003-07-01,2023-09-25
1953-0042-IND,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1953,6.0,,1953,6.0,,400.0,,,,,,,,,,,8.7941304030226,,2003-07-01,2023-09-25
1953-0045-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1953,6.0,,1953,6.0,,80.0,,,,,,,,,,,8.7941304030226,,2003-07-01,2023-09-25
1954-0043-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1954,2.0,,1954,2.0,,30.0,,,,,,,,,,,8.82694432243686,,2003-07-01,2023-09-25
1955-0015-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Punjab,,Flood,No,No,No,,,Kph,,,,1955,9.0,28.0,1955,9.0,28.0,1500.0,,,375000.0,375000.0,,,,,,,8.7872840742115,,2005-05-02,2023-09-25
1955-0019-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Tanjore,,,No,No,No,,,Kph,,,,1955,11.0,28.0,1955,11.0,28.0,500.0,,,,,,,,,,,8.7872840742115,,2003-07-01,2023-09-25
1955-0049-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1955,12.0,,1955,12.0,,120.0,,,,,,,,,,,8.7872840742115,,2003-07-01,2023-09-25
1956-0007-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Parganas, Midnapore (West Bengal)",,,No,No,No,,,Kph,,,,1956,5.0,29.0,1956,5.0,29.0,,,1000000.0,,1000000.0,,,,,,,8.92129477297601,,2003-07-01,2023-09-25
1956-0012-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Gujarat, Saurashtra, Kutch",,,No,No,No,,,Km2,,,,1956,8.0,1.0,1956,8.0,1.0,,,,2000.0,2000.0,,,,,,,8.92129477297601,,2003-07-01,2023-09-25
1956-0016-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Bihar, Uttar Pradesh",,,No,No,No,,,Km2,,,,1956,9.0,9.0,1956,9.0,9.0,100.0,,,75000.0,75000.0,,,,,,,8.92129477297601,,2003-07-01,2023-09-25
1956-0038-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,"Anjar, Bhuj, Gandhidham, Kandla",,,No,No,No,,6.1,Moment Magnitude,23.0,70.0,,1956,7.0,21.0,1956,7.0,21.0,113.0,219.0,,,219.0,,,,,,,8.92129477297601,,2004-04-13,2023-09-25
1956-0046-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1956,10.0,,1956,10.0,,50.0,,,,,,,,,,,8.92129477297601,,2003-07-01,2023-09-25
1956-0047-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1956,10.0,,1956,10.0,,27.0,,,,,,,,,,,8.92129477297601,,2003-07-01,2023-09-25
1957-0010-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Madya Pradesh, Uttar Pradesh",,,No,No,No,,,Km2,,,,1957,9.0,9.0,1957,9.0,9.0,42.0,,10000.0,,10000.0,,,,,,,9.21939623621913,,2003-07-01,2023-09-25
1957-0038-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1957,9.0,,1957,9.0,,92.0,,,,,,,,,,,9.21939623621913,,2003-07-01,2023-09-25
1957-0041-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1957,11.0,,1957,11.0,,53.0,,,,,,,,,,,9.21939623621913,,2003-07-01,2023-09-25
1958-0013-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,Vishakhapatam,,,No,No,No,,,Kph,,,,1958,10.0,16.0,1958,10.0,16.0,,,20000.0,,20000.0,,,,,,,9.47101244662869,,2003-07-01,2023-09-25
1958-0015-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Madras city,,,No,No,No,,,Km2,,,,1958,11.0,15.0,1958,11.0,15.0,5.0,,5000.0,,5000.0,,,,,,,9.47101244662869,,2003-07-01,2023-09-25
1958-0031-IND,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1958,5.0,,1958,5.0,,651.0,,,,,,,,,,,9.47101244662869,,2003-07-01,2023-09-25
1958-0033-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,,,,,1958,6.0,,1958,6.0,,52.0,,,,,,,,,,,9.47101244662869,,2003-07-01,2023-09-25
1959-0007-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Kutch,,,No,No,No,,,Km2,,,,1959,7.0,4.0,1959,7.0,4.0,17.0,,13000.0,,13000.0,,,,,,,9.56673659679099,,2003-07-01,2023-09-25
1959-0038-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1959,7.0,,1959,7.0,,104.0,,,,,,,,,,,9.56673659679099,,2003-07-01,2023-09-25
1959-0046-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1959,9.0,,1959,9.0,,500.0,,,,,,,,,,,9.56673659679099,,2003-07-01,2023-09-25
1960-0032-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Maduri, Madras City",,,No,No,No,,,Km2,,,,1960,11.0,10.0,1960,11.0,10.0,5.0,,160000.0,,160000.0,,,,,,,9.706215691262,,2003-07-01,2023-09-25
1960-0051-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1960,7.0,,1960,7.0,,30.0,,,,,,,,,,,9.706215691262,,2003-07-01,2023-09-25
1960-0054-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1960,8.0,,1960,8.0,,47.0,,,,,,,,,,,9.706215691262,,2003-07-01,2023-09-25
1960-0056-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1960,9.0,,1960,9.0,,155.0,,,,,,,,,,,9.706215691262,,2003-07-01,2023-09-25
1961-0007-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,North,,,No,No,No,,,Km2,,,,1961,7.0,,1961,7.0,,2000.0,,,,,,,,,,,9.81013854565566,,2003-07-01,2023-09-25
1961-0009-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Central, West India",,,No,No,No,,,Km2,,,,1961,9.0,6.0,1961,9.0,6.0,,,,2000.0,2000.0,,,,,,,9.81013854565566,,2003-07-01,2023-09-25
1961-0012-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Uttar Pradesh,,,No,No,No,,,Km2,,,,1961,10.0,9.0,1961,10.0,9.0,57.0,,,,,,,,,,,9.81013854565566,,2003-07-01,2023-09-25
1961-0050-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1961,10.0,,1961,10.0,,1000.0,,,,,,,,,,,9.81013854565566,,2003-07-01,2023-09-25
1961-0055-IND,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1961,12.0,,1961,12.0,,400.0,,,,,,,,,,,9.81013854565566,,2003-07-01,2023-09-25
1962-0007-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Punjab, Delhi, M.P.",,,No,No,No,,,Kph,,,,1962,9.0,16.0,1962,9.0,16.0,,,40000.0,,40000.0,,,,,,,9.9277440573007,,2003-07-01,2023-09-25
1962-0034-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1962,8.0,,1962,8.0,,100.0,,,,,,,,,,,9.9277440573007,,2003-07-01,2023-09-25
1962-0036-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1962,9.0,,1962,9.0,,73.0,,,,,,,,,,,9.9277440573007,,2003-07-01,2023-09-25
1963-0019-IND,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IND,India,Southern Asia,Asia,"Orissa, Uttar Pradesh, Punjab",,,No,No,No,,,Kph,,,,1963,9.0,8.0,1963,9.0,8.0,200.0,,5000000.0,,5000000.0,,,,,,,10.0508101859955,,2003-07-01,2023-09-25
1963-0064-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Kph,,,,1963,4.0,,1963,4.0,,112.0,,,,,,,,,,,10.0508101859955,,2003-07-01,2023-09-25
1963-0070-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1963,7.0,,1963,7.0,,200.0,,,,,,,,,,,10.0508101859955,,2003-07-01,2023-09-25
1964-0038-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Assam, Bihar, Punjab",,,Yes,No,No,,,Km2,,,,1964,7.0,,1964,7.0,,145.0,,752210.0,,752210.0,,,,,,,10.1793524890535,,2003-07-01,2023-09-25
1964-0055-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Andhra Pradesh,,,Yes,No,No,,,Km2,,,,1964,10.0,,1964,10.0,,,,18400.0,,18400.0,,,,,500.0,4912.0,10.1793524890535,,2003-07-01,2023-09-25
1964-0068-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Rameswaram,,,No,No,No,,,Kph,,,,1964,12.0,17.0,1964,12.0,17.0,500.0,,,,,,,,,,,10.1793524890535,,2003-07-01,2023-09-25
1964-0097-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1964,9.0,,1964,9.0,,51.0,,,,,,,,,,,10.1793524890535,,2003-07-01,2023-09-25
1964-0101-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1964,9.0,,1964,9.0,,36.0,,,,,,,,,,,10.1793524890535,,2003-07-01,2023-09-25
1964-9009-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,"Rajasthan, center",,,Yes,No,No,,,Km2,,,,1964,7.0,,1964,,,,,500000.0,,500000.0,,,,,,,10.1793524890535,,2006-02-13,2023-09-25
1964-9044-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Mysore,,Famine,Yes,No,No,,,Km2,,,,1964,8.0,,1964,,,,,166000.0,,166000.0,,,,,,,10.1793524890535,,2006-08-08,2023-09-25
1965-0096-IND,Yes,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,IND,India,Southern Asia,Asia,,,,No,No,No,,,°C,,,,1965,6.0,,1965,6.0,,100.0,,,,,,,,,,,10.3407129450072,,2003-07-01,2023-09-25
1965-9073-IND,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,IND,India,Southern Asia,Asia,Nationwide except south,,Famine,Yes,No,No,,,Km2,,,,1965,,,1967,,,1500000.0,,100000000.0,,100000000.0,,,,,100000.0,967051.0,10.3407129450072,,2006-09-14,2023-09-25
1966-0046-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Manipur, Assam",,,Yes,No,No,,,Km2,,,,1966,6.0,,1966,6.0,,47.0,,900000.0,,900000.0,,,,,1400.0,13142.0,10.6524970655017,,2003-07-01,2023-09-25
1966-0085-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Madras state,,,Yes,No,No,,,Kph,,,,1966,11.0,3.0,1966,11.0,3.0,18.0,,150000.0,,150000.0,,,,,4200.0,39427.0,10.6524970655017,,2003-07-01,2023-09-25
1966-0143-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,North,,,No,No,No,,5.6,Moment Magnitude,28.7,78.9,,1966,8.0,15.0,1966,8.0,15.0,15.0,,,,,,,,,,,10.6524970655017,,2020-03-10,2023-09-25
1967-0004-IND,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,IND,India,Southern Asia,Asia,,,,Yes,No,No,,,Vaccinated,,,,1967,1.0,1.0,1967,1.0,1.0,3029.0,,13576.0,,13576.0,,,,,,,10.94786822022,,2003-07-01,2023-09-25
1967-0055-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"North, Central",,,No,No,No,,,Km2,,,,1967,9.0,5.0,1967,9.0,5.0,300.0,,1000000.0,,1000000.0,,,,,,,10.94786822022,,2003-07-01,2023-09-25
1967-0063-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,Orissa,,,No,No,No,,,Kph,,,,1967,10.0,8.0,1967,10.0,8.0,1000.0,,,,,,,,,,,10.94786822022,,2003-07-01,2023-09-25
1967-0077-IND,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IND,India,Southern Asia,Asia,"Maharashtra, Koynana",,,No,No,No,,6.6,Moment Magnitude,17.412,73.885,,1967,12.0,11.0,1967,12.0,11.0,177.0,2272.0,50000.0,,52272.0,,,,,400.0,3654.0,10.94786822022,,2003-07-01,2023-09-25
1968-0051-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Assam,,,No,No,No,,,Km2,,,,1968,6.0,12.0,1968,6.0,12.0,,,1000000.0,,1000000.0,,,,,,,11.415536622305,,2003-07-01,2023-09-25
1968-0055-IND,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"(1) Rajasthan, Gujarat - (2) North-East, West Bengal, Assam",,,Yes,No,No,,,Km2,,,,1968,7.0,,1968,7.0,,4892.0,,7500000.0,,7500000.0,,,,,94200.0,825191.0,11.415536622305,,2003-07-01,2023-09-25
1968-0074-IND,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IND,India,Southern Asia,Asia,"Bihar, Bengal",,,No,No,No,,,,,,,1968,10.0,1.0,1968,10.0,1.0,1000.0,,,,,,,,,,,11.415536622305,,2003-07-01,2023-09-25
1968-0084-IND,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Ramanathapurum, Thanjavur",,,No,No,No,,,Kph,,,,1968,12.0,4.0,1968,12.0,4.0,7.0,,15000.0,,15000.0,,,,,,,11.415536622305,,2003-07-01,2023-09-25
1968-0124-IND,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,,,,No,No,No,,,Km2,,,,1968,8.0,,1968,8.0,,1000.0,,,,,,,,,,,11.415536622305,,2003-07-01,2023-09-25
